reaction_id,EC Number,BEC-Pred,CLAIRE,SelenzymeRF,SIMMER,Theia,MajorityVote,MajorityVoteCore4
58521,1.14.19.80,1.14.14,1.14.14;1.14.19;1.14.15;1.2.5,1.14.14.3;1.14.14.13;1.14.14.28;1.14.19.56;1.14.14.15;1.14.14.5;1.14.14.30;1.14.14.21;1.14.14.35;1.14.14.33;1.14.14.12;1.14.14.155;1.14.14.108;1.14.99.46,1.14.19;1.14.14,1.14.14;1.14.19;1.13.11;1.14.99;1.5.1,1.14.14,1.14.14
58561,1.5.1.56,1.3.1,7.2.4;4.1.3;2.3.1;4.1.1,1.1.1.318;1.2.1.70,1.3.1,1.5.1;1.3.1;1.4.1;1.1.1;1.14.13,1.3.1,1.3.1
58565,1.1.1.439,1.1.1,2.3.1;7.2.4;1.2.1;1.3.1,1.6.3.2;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.1.1.318;1.6.5.4;1.3.1.22;1.1.1.170;1.2.1.70,1.3.1;1.1.1,1.3.1;1.5.1;1.1.1;1.14.12;1.14.13,1.1.1,1.1.1
58569,2.3.1.323,2.3.1,2.3.1;2.3.2;2.3.3;3.1.2,2.3.1.16|2.3.1.38|2.3.1.9,2.3.1,2.3.1;2.3.3;3.1.2;6.2.1;2.3.2,2.3.1,2.3.1
58573,1.21.3.11,1.3.3,1.13.12;1.3.3;1.10.3;1.2.3,1.3.3.6;1.4.3.2;1.1.3.15;1.4.3.3;1.2.3.1,1.5.3,1.4.3;1.3.3;1.8.3;1.1.3;1.5.3,1.3.3,1.3.3
58577,1.3.1.128,1.3.1,7.2.4;1.3.1;2.3.1;3.7.1,1.6.3.2;1.12.1.3|1.12.1.5;1.11.1.1|1.11.1.2;1.1.1.318;1.6.5.4;1.3.1.22;1.3.1.113;1.2.1.84;1.2.1.50;1.3.1.34;1.1.1.170;1.3.1.93;1.3.1.38;1.3.1.8;1.2.1.70,1.1.1,1.3.1;1.1.1;1.5.1;1.17.1;1.12.1,1.3.1,1.1.1
58665,1.1.5.13,1.1.5,2.7.2;2.8.3;7.2.4;2.2.1,1.1.99.2;1.1.99.39;1.1.5.4,1.1.5,1.1.5;1.8.5;1.3.5;1.6.5;1.4.5,1.1.5,1.1.5
58697,1.14.13.211,1.14.13,1.14.13;1.14.20;1.14.19;1.2.5,1.6.3.2;1.14.13.225;1.16.1.1;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.223;1.1.1.170;1.1.1.272,,1.14.13;1.14.19;1.14.99;1.5.1;1.6.5,1.14.13,1.14.13
58713,1.14.13.211,1.14.13,1.14.13;1.14.20;1.14.19;1.6.1,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.223;1.14.13.225;1.1.1.170|1.1.1.418;1.1.1.345;1.1.1.337|1.1.1.375;1.4.1.5;1.2.1.23;1.16.1.1,,1.14.13;1.14.19;1.14.99;1.5.1;1.6.5,1.14.13,1.14.13
58813,5.1.1.23,6.3.2,2.7.7;6.2.1;3.6.1;6.3.1,6.3.1.14;6.2.1.1|6.2.1.17,3.6.1,3.6.1;5.1.1;2.7.7;2.7.4;6.3.2,3.6.1,3.6.1
58817,6.3.2.53,6.3.2,2.7.7;2.7.8;2.3.1;2.3.3,6.3.2.9,6.3.2,6.3.2;6.3.1;3.5.2;6.3.4;3.4.17,6.3.2,6.3.2
58821,7.2.4.4,4.1.1,4.1.1;1.13.12;3.7.1;7.2.4,4.1.1.88|4.1.1.89;1.1.1.38|1.1.1.40|4.1.1.112|4.1.1.3|4.1.1.32|4.1.2.52|4.1.3.16|4.1.3.17|4.1.3.39|4.4.1.1,4.1.1,4.1.1;3.7.1;2.7.1;1.2.2;2.3.1,4.1.1,4.1.1
58825,1.14.15.37,1.14.15,1.14.15;1.14.19;1.14.18;1.14.14,1.14.13.81;1.14.13.122;1.13.12.17;1.14.13.39;1.16.3.1,1.14.99,1.14.15;1.14.19;1.21.3;1.17.7;1.8.7,1.14.15,1.14.13
58833,1.14.18.10,1.14.18,1.14.99;1.21.3;1.14.18;1.16.3,1.16.3.1;1.14.18.9;1.14.13.122;1.14.13.39;1.13.12.17;1.14.13.81,1.14.15,1.14.19;1.16.3;1.2.3;1.14.18;1.13.11,1.14.18,1.14.18
58869,1.14.18.11,1.14.99,1.16.3;1.14.99;1.14.18;1.21.3,1.16.3.1;1.14.13.122;1.13.12.17;1.14.13.39;1.14.13.81,1.1.3,1.14.19;1.2.3;1.16.3;1.14.18;1.13.11,1.16.3,1.16.3
58885,1.14.99.67,1.14.99,1.14.19;1.14.18;1.14.13;1.14.14,1.1.3.15;1.4.3.3;1.4.3.2;1.3.3.6;1.1.3.18;1.2.3.1,,1.14.99;1.97.1;1.14.13;1.13.11;1.14.12,1.14.99,1.14.99
58889,1.14.99.68,1.14.99,1.14.19;1.14.14;1.14.18;1.16.3,1.4.3.3;1.4.3.2;1.1.3.15;1.2.3.1,1.13.11,1.14.99;1.14.13;1.14.19;1.97.1;3.5.99,1.14.99,1.14.99
58893,2.8.2.40,2.8.2,1.8.99;2.8.2;3.6.2;3.1.6,2.8.2.-|2.8.2.39;2.8.2.15|2.8.2.4;2.8.2.14;2.8.2.27;2.8.2.25;2.8.2.24;2.8.2.1|2.8.2.n2;2.8.2.36;2.8.2.37|2.8.2.8;2.8.2.10;2.8.2.11;2.8.2.2;2.8.2.3;2.8.2.20;1.8.4.8,2.8.2,2.8.2;3.6.2;1.8.99;3.1.6;2.7.1,2.8.2,2.8.2
58897,6.2.1.56,6.2.1,6.2.1;6.3.1;1.2.7;2.3.3,6.2.1.13;6.2.1.9;6.2.1.18;6.2.1.5,6.2.1,6.2.1;3.1.2;1.2.1;2.8.3;2.3.1,6.2.1,6.2.1
58901,3.5.1.131,3.5.3,3.5.99;4.3.1;3.5.4;3.5.3,3.5.1.54;3.5.1.3;3.5.1.84;3.5.1.6;6.3.1.1|6.3.5.4,3.8.1,3.5.1;3.5.2;3.5.4;3.5.3;3.5.5,3.5.1,3.5.1
58905,2.3.1.287,2.3.1,4.1.3;2.3.1;2.7.8;2.3.2,2.3.1.94;2.3.1.240;2.3.1.165;2.3.1.237;2.3.1.236;1.3.1.-|2.3.1.170|2.3.1.74;2.3.1.252;1.2.1.-|1.2.1.18|1.2.1.75,2.3.1,1.2.1;2.3.1;1.3.1;1.8.1;1.17.1,2.3.1,2.3.1
58909,2.3.1.287,2.3.1,4.1.3;2.3.1;2.7.8;2.3.2,2.3.1.94;2.3.1.240;2.3.1.165;2.3.1.237;2.3.1.236;1.3.1.-|2.3.1.170|2.3.1.74;2.3.1.252;1.2.1.-|1.2.1.18|1.2.1.75,2.3.1,1.2.1;2.3.1;1.3.1;1.8.1;1.17.1,2.3.1,2.3.1
58913,7.2.2.18,6.3.5,1.16.3;1.12.7;1.7.7;1.1.7,6.3.1.10;6.4.1.8;6.3.4.6;6.3.4.16|6.3.5.5,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,6.3.5,6.3.5
58921,4.2.1.139,4.2.1,4.2.1;1.2.3;1.13.11;3.7.1,1.1.1.246|1.1.1.348;4.2.1.139;1.14.14.93;1.14.19.72;1.3.1.45;2.4.1.128;2.4.1.111;2.4.1.249;4.6.1.17,3.1.1,4.2.1;3.2.1;3.1.3;4.1.2;5.5.1,4.2.1,4.2.1
58925,4.2.1.139,3.3.2,4.2.1;3.7.1;1.1.99;1.17.99,4.2.1.139;1.14.14.93;2.1.1.270;2.4.1.249;4.6.1.17,4.2.1,4.2.1;4.1.2;3.2.1;5.1.99;3.3.2,4.2.1,4.2.1
58929,4.2.1.139,4.2.1,4.2.1;3.7.1;1.2.3;3.5.5,4.2.1.139;1.14.14.93;1.1.1.246|1.1.1.348;4.2.1.105;1.3.1.45;1.14.11.22|1.14.20.5;2.3.1.151;2.3.1.156|2.3.1.74,,4.2.1;3.2.1;3.1.3;3.1.1;4.1.2,4.2.1,4.2.1
58933,2.3.1.289,2.3.1,2.3.1;2.7.8;2.3.3;2.3.2,2.3.1.239;2.3.1.236;2.3.1.237;2.3.1.165;2.3.1.94;1.3.1.-|2.3.1.170|2.3.1.74;2.3.1.252;2.3.1.161,2.3.1,2.3.1;1.3.1;1.2.1;3.1.2;6.2.1,2.3.1,2.3.1
58945,2.3.1.290,2.3.1,2.3.1;2.7.8;2.3.3;2.3.2,2.3.1.240;2.3.1.236;2.3.1.237;2.3.1.94;2.3.1.165;1.3.1.-|2.3.1.170|2.3.1.74;2.3.1.252;2.3.1.161,2.3.1,2.3.1;1.3.1;1.2.1;6.2.1;3.1.2,2.3.1,2.3.1
58953,2.4.1.367,2.4.1,2.7.8;2.8.2;2.4.3;2.3.3,2.4.1.350;2.4.1.192;2.4.1.90;2.4.1.338;2.4.1.-|2.4.1.284;2.4.1.22;2.4.1.15;2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.276;2.4.1.219;2.4.1.85;2.4.1.-|2.4.1.266;2.4.1.202;2.4.1.13,2.4.1,2.4.1;2.4.2;3.6.1;2.7.8;2.7.1,2.4.1,2.4.1
59013,2.1.1.41,2.1.1,2.1.1;4.4.1;2.5.1;2.7.7,2.1.1.142;2.1.1.41;2.1.1.263;2.1.1.262;2.1.1.317;2.1.1.333;2.1.1.79;2.1.1.344;2.1.1.71;2.1.1.17;2.1.1.231;2.1.1.197;2.1.1.6,2.1.1,2.1.1;5.5.1;2.5.1;5.3.3;2.3.1,2.1.1,2.1.1
59017,1.1.1.418,1.3.1,2.3.1;7.2.4;1.3.1;3.7.1,1.1.1.170|1.1.1.418;1.1.1.213|1.1.1.357|1.1.1.50;1.1.1.145;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.223;1.1.1.345;1.1.1.337|1.1.1.375;1.4.1.5;1.1.1.35,1.1.1,1.1.1;1.17.1;1.4.1;1.2.1;1.3.1,1.1.1,1.1.1
59045,2.4.1.363,2.4.1,2.4.2;2.4.1;2.7.8;2.7.7,2.4.1.13;2.4.1.63;2.4.1.14;2.4.1.350;2.4.1.192;2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.90;2.4.1.-|2.4.1.284;2.4.1.22;2.4.1.338;2.4.1.276;2.4.1.15,2.4.1,2.4.1;2.4.2;2.7.8;3.6.1;2.7.4,2.4.1,2.4.1
59049,4.1.1.116,4.1.1,4.1.1;3.7.1;3.5.1;7.2.4,4.1.1.17|4.1.1.19|4.1.1.86,4.1.1,4.1.1;5.1.1;1.13.12;2.2.1;1.13.99,4.1.1,4.1.1
59053,4.1.1.116,4.1.1,4.1.1;3.7.1;3.5.1;3.5.2,4.1.1.17|4.1.1.18|4.1.1.19|4.1.1.50,4.1.1,4.1.1;5.1.1;1.13.12;2.2.1;1.13.99,4.1.1,4.1.1
59057,1.8.1.21,1.8.1,2.1.1;2.8.4;7.2.1;1.21.98,1.14.13.131;1.2.1|1.2.1.19|1.2.1.21|1.2.1.3|1.2.1.4|1.2.1.5|1.2.1.69,1.1.1,1.8.1;1.1.1;1.17.1;1.12.1;1.2.1,1.8.1,1.8.1
59065,2.1.1.353,2.1.1,2.1.1;4.4.1;2.5.1;2.8.4,2.1.1.333;2.1.1.69;2.1.1.267;2.1.1.267|2.1.1.42;2.1.1.150;2.1.1.46;2.1.1.231;2.1.1.344;2.1.1.71;2.1.1.17;2.1.1.6;2.1.1.317;2.1.1.79;2.1.1.15;2.1.1.197,2.1.1,2.1.1;2.8.4;2.3.1;1.17.98;2.5.1,2.1.1,2.1.1
59069,2.1.1.353,2.1.1,2.1.1;4.4.1;2.5.1;2.8.4,2.1.1.333;2.1.1.69;2.1.1.267;2.1.1.267|2.1.1.42;2.1.1.46;2.1.1.150;2.1.1.231;2.1.1.344;2.1.1.71;2.1.1.17;2.1.1.317;2.1.1.79;2.1.1.6;2.1.1.15;2.1.1.197,2.1.1,2.1.1;2.8.4;2.3.1;1.17.98;2.5.1,2.1.1,2.1.1
59073,2.1.1.308,2.1.1,4.4.1;2.8.4;2.1.1;2.8.1,1.17.98.2;2.8.1.8,2.8.4;2.1.1,1.17.98;2.1.1;2.8.4;4.7.1;2.8.1,2.1.1,2.1.1
59077,2.4.1.361,2.4.1,2.3.3;1.97.1;7.1.1;1.17.9,2.4.1.252;2.4.1.36;2.4.1.251;2.4.1.270;2.4.1.217;2.4.1.-|2.4.1.266;2.4.1.269;2.4.1.246;2.4.1.342;2.4.1.345;2.4.1.348;2.4.1.346;2.4.1.308;2.4.1.338;2.4.1.22;2.4.1.-|2.4.1.284;2.4.1.347;2.4.1.245;2.4.1.90;2.4.1.213;2.4.1.268;2.4.1.15,2.4.1,2.4.1;2.4.2;3.6.1;2.7.4;2.7.8,2.4.1,2.4.1
59089,2.5.1.152,2.5.1,2.1.1;1.19.6;2.5.1;4.4.1,2.5.1.43;4.4.1.14;2.1.1.44;2.3.1.184;2.5.1.25;2.5.1.114,2.5.1,2.5.1;2.1.1;4.4.1;2.8.4;1.5.1,2.5.1,2.5.1
59097,2.4.1.369,2.4.1,2.4.2;2.4.1;2.3.3;2.7.8,2.4.1.309;2.4.1.293;2.4.1.298;2.4.1.297;2.4.1.238;2.4.1.249;2.4.1.208;2.4.1.315;2.4.1.241;2.4.1.116;2.4.1.87;2.4.1.239;2.4.1.37;2.4.1.-|2.4.1.330;2.4.1.228;2.4.1.86;2.4.1.275;2.4.1.62;2.4.1.274;2.4.1.122;2.4.1.38;2.4.1.81;2.4.1.234;2.4.1.338;2.4.1.90;2.4.1.22;2.4.1.170;2.4.1.-|2.4.1.286;2.4.1.237;2.4.1.15,2.4.1,2.4.1;2.4.2;2.7.8;2.7.1;2.7.7,2.4.1,2.4.1
59101,2.4.1.369,2.4.1,2.7.8;2.4.2;2.3.1;2.4.1,2.4.1.309;2.4.1.293;2.4.1.238;2.4.1.315;2.4.1.249;2.4.1.116;2.4.1.298;2.4.1.297;2.4.1.87;2.4.1.86;2.4.1.62;2.4.1.275;2.4.1.-|2.4.1.330;2.4.1.228;2.4.1.208;2.4.1.241;2.4.1.37;2.4.1.239;2.4.1.274;2.4.1.338;2.4.1.122;2.4.1.38;2.4.1.81;2.4.1.22;2.4.1.90;2.4.1.237;2.4.1.234;2.4.1.15,2.4.1,2.4.1;2.4.2;2.7.8;2.7.1;2.7.7,2.4.1,2.4.1
59113,2.7.1.225,2.7.1,2.8.2;2.8.3;7.2.4;7.1.1,6.3.2.14;2.7.1.31;2.7.1.219;2.7.1.220;2.7.1.39,2.7.1;2.7.11,2.7.1;2.7.8;2.7.4;2.7.11;2.7.12,2.7.1,2.7.1
59121,4.1.1.117,4.1.1,4.1.1;3.7.1;4.1.3;4.1.2,4.1.1.15;4.1.1.11|4.1.1.15,4.1.1,4.1.1;2.3.1;6.3.2;4.3.1;4.1.2,4.1.1,4.1.1
59125,6.3.2.54,6.3.2,6.3.1;6.3.2;6.2.1;2.7.7,6.3.1.14;6.3.2.38;6.3.2.46;6.3.2.39;6.3.2.36;6.3.2.1,6.3.2,6.3.2;6.3.1;6.1.1;6.3.4;2.7.7,6.3.2,6.3.2
59129,6.3.2.55,6.3.2,6.3.1;6.3.2;2.5.1;6.3.4,6.3.1.14;6.3.2.46;6.3.2.38;6.3.2.39;6.3.2.52;6.3.3.4;6.3.2.36;6.3.2.1,6.3.4;6.3.2,6.3.2;6.1.1;2.7.7;2.7.4;6.3.1,6.3.2,6.3.2
59133,6.3.2.56,6.3.2,4.4.1;4.5.1;2.5.1;2.3.1,6.3.1.14;6.3.3.4;6.3.1.1|6.3.5.4,6.3.4,2.7.7;6.3.4;6.3.1;3.6.1;2.5.1,6.3.1,6.3.1
59137,6.3.2.58,6.3.2,6.3.2;6.3.1;6.3.4;6.3.3,6.3.2.38;6.3.1.14;6.3.2.39;6.3.2.36;6.3.2.1,6.3.4;6.3.2,6.3.2;6.3.1;6.3.4;2.7.7;2.3.2,6.3.2,6.3.2
59141,6.3.2.57,6.3.2,4.4.1;2.5.1;2.8.1;2.1.1,6.3.2.38;6.3.1.14;6.3.2|6.3.2.5|6.3.2.51;6.3.1.1|6.3.5.4,6.3.2;6.3.4,5.1.1;6.3.2;6.1.1;2.7.7;3.6.1,6.3.2,6.3.2
59149,6.2.1.60,6.2.1,6.2.1;6.3.1;2.3.1;2.7.7,6.2.1.14;6.2.1.48;6.2.1.15;6.2.1.36;6.2.1.26;6.2.1.7;6.2.1.16;6.2.1.2|6.2.1.30,6.2.1,6.2.1;1.2.1;3.1.2;2.8.3;2.7.4,6.2.1,6.2.1
59153,6.2.1.60,6.2.1,6.2.1;2.3.1;2.3.2;2.3.3,6.2.1.14;6.2.1.48;6.2.1.15;6.2.1.36;6.2.1.26;6.2.1.7;6.2.1.16;6.2.1.2|6.2.1.30,6.2.1,6.2.1;1.2.1;3.1.2;2.8.3;2.7.4,6.2.1,6.2.1
59157,6.2.1.59,6.2.1,1.2.7;2.3.3;2.7.7;1.17.7,6.2.1.14;6.3.1.14;6.2.1.48;6.2.1.15;6.2.1.36;6.2.1.26;6.2.1.7;6.2.1.16,6.2.1,6.2.1;2.7.4;1.2.1;3.1.2;2.7.7,6.2.1,6.2.1
59161,6.2.1.59,6.2.1,2.3.3;2.3.1;2.4.1;1.2.7,6.2.1.14;6.3.1.14;6.2.1.48;6.2.1.15;6.2.1.36;6.2.1.26;6.2.1.7;6.2.1.16,6.2.1,6.2.1;2.7.4;1.2.1;3.1.2;2.7.7,6.2.1,6.2.1
59165,6.2.1.57,6.2.1,2.3.3;1.2.7;1.3.7;1.17.7,6.3.1.14;6.2.1.14;6.2.1.48;6.2.1.15;6.2.1.1|6.2.1.17,6.2.1,6.2.1;2.7.4;1.2.1;3.1.2;2.7.7,6.2.1,6.2.1
59169,6.2.1.57,6.2.1,2.3.3;2.3.1;1.2.7;2.4.1,6.2.1.14;6.2.1.48;6.3.1.14;6.2.1.15;6.2.1.36;6.2.1.26;6.2.1.7;6.2.1.16,6.2.1,6.2.1;2.7.4;1.2.1;3.1.2;2.7.7,6.2.1,6.2.1
59177,2.7.1.226,2.7.1,7.2.4;7.1.1;2.7.4;2.8.2,6.3.2.14;2.7.1.212;2.7.1.147;2.7.8.8;2.7.1.146;2.7.8.38;2.7.1.31;4.2.1.-|4.2.1.136;2.7.1.11|2.7.1.20|2.7.1.74,2.7.11;2.7.1,2.7.1;2.7.8;2.7.9;3.6.1;3.1.4,2.7.1,2.7.1
59181,3.1.4.60,3.6.1,3.6.1;3.6.4;5.6.2;3.6.5,6.3.2.14;6.3.5.11;6.3.5.9;6.3.5.10;2.7.8.26,2.7.7,3.1.4;3.1.7;3.6.1;4.6.1;2.4.99,3.6.1,6.3.5
59185,3.7.1.24,3.1.1,3.7.1;4.2.1;4.1.1;4.1.2,2.3.1.272;3.1.1.2;1.13.11.50;3.5.1.114|3.5.1.14;2.8.3.8;3.1.1.71;3.5.1.89;3.1.1.47;3.1.1.6;3.5.1.76;4.2.1.154;2.7.2.1|2.7.2.15|2.7.2.2,4.1.1,3.1.1;1.13.12;3.2.1;4.2.1;3.1.2,3.1.1,3.1.1
59189,5.1.1.24,5.1.1,5.1.99;5.1.1;5.2.1;5.1.2,2.1.1.44;1.1.1.23,5.1.3;5.1.1,5.1.1;2.6.1;5.1.99;5.4.3;5.4.99,5.1.1,5.1.1
59217,4.1.1.115,4.1.1,4.1.1;3.7.1;7.2.4;3.5.1,2.5.1.116;2.5.1.-|2.5.1.115;2.5.1.-|2.5.1.117;4.1.1.83;1.14.20.12;1.14.20.11;4.1.1.43|4.1.1.74;1.14.13.-|1.14.13.168;1.1.1.38|1.1.1.40|4.1.1.112|4.1.1.3|4.1.1.32|4.1.2.52|4.1.3.16|4.1.3.17|4.1.3.39|4.4.1.1,4.1.1,4.1.1;1.2.3;1.17.98;1.2.2;1.2.7,4.1.1,4.1.1
59221,3.7.1.25,3.7.1,3.7.1;4.1.1;3.5.5;4.2.1,3.7.1.14;3.7.1.13;1.13.11.50;3.7.1.8;4.2.1.130;4.2.1.80;1.2.1|1.2.1.19|1.2.1.24|1.2.1.3|1.2.1.31|1.2.1.36|1.2.1.48|1.2.1.5|1.2.1.69|1.2.1.88,1.13.11,3.7.1;4.2.1;1.14.19;5.3.3;3.6.1,3.7.1,3.7.1
59225,4.2.3.201,4.2.3,4.2.3;3.1.7;2.5.1;2.1.1,4.2.3.191;2.5.1.89;4.2.3.146;4.2.3.158;4.2.3.195;4.2.3.17;4.2.3.159;4.2.3.8;4.2.3.176;4.2.3.145;4.2.3.43;4.2.3.180;4.2.3.178;1.3.1.83;4.2.3.-|4.2.3.129;4.2.3.149;4.2.3.96;4.2.3.68;4.2.3.62;4.2.3.172;4.2.3.168;4.2.3.7;4.2.3.6;4.2.3.167;4.2.3.198|4.2.3.66;4.2.3.136;4.2.3.69;4.2.3|4.2.3.-|4.2.3.56;4.2.3.181;4.2.3.37;4.2.3.74;2.5.1.86;4.2.3.24;4.2.3.160;4.2.3.93;4.2.3.79;4.2.3.87;4.2.3.-|4.2.3.127;4.2.3.56|4.2.3.58;4.2.3.164|4.2.3.ek;4.2.3.90;4.2.3.64;4.2.3.133;4.2.3.169;4.2.3.21;4.2.3.73;4.2.3.-|4.2.3.128;4.2.3.163;4.2.3.80;4.2.3.92;4.2.3.-|4.2.3.126;4.2.3.67;4.2.3.-|4.2.3.104,4.2.3,4.2.3;5.5.1;5.3.3;5.4.99;2.5.1,4.2.3,4.2.3
59229,5.1.3.43,5.3.1,5.1.3;5.1.2;5.1.1;5.1.99,1.1.1.390;5.3.1.31;3.2.1.199;5.1.3.3;2.7.1.1|2.7.1.2|2.7.1.4|2.7.1.55|2.7.1.60|2.7.1.7,5.1.3;5.1.1,5.1.3;3.2.1;2.4.1;5.3.1;2.3.1,5.1.3,5.1.3
59233,4.2.3.202,4.2.3,4.2.3;3.1.7;5.4.4;2.5.1,4.2.3.146;4.2.3.158;4.2.3.191;4.2.3.195;4.2.3.176;4.2.3.145;4.2.3.17;4.2.3.96;4.2.3.74;4.2.3.-|4.2.3.129;4.2.3.159;4.2.3.68;4.2.3.8;4.2.3.136;4.2.3.178;4.2.3.69;4.2.3.43;4.2.3.7;4.2.3.37;4.2.3.180;4.2.3.172;4.2.3.160;4.2.3.62;4.2.3.163;4.2.3|4.2.3.-|4.2.3.56;4.2.3.6;4.2.3.79;4.2.3.157;4.2.3.149;4.2.3.181;4.2.3.133;4.2.3.24;4.2.3.198|4.2.3.66;4.2.3.184;2.5.1.86;4.2.3.-|4.2.3.127;4.2.3.56|4.2.3.58;4.2.3.169;4.2.3.175;4.2.3.170;4.2.3.70;4.2.3.80;4.2.3.76;4.2.3.39;4.2.3.98;4.2.3.87;4.2.3.64;4.2.3.-|4.2.3.128;4.2.3.22;4.2.3.67;4.2.3.-|4.2.3.104;4.2.3.165;4.2.3.-|4.2.3.162;4.2.3.90;4.2.3.164|4.2.3.ek;4.2.3.73;4.2.3.168;4.2.3.135;4.2.3.21;4.2.3.182;4.2.3.161;4.2.3.167;4.2.3.83,4.2.3,4.2.3;4.2.1;5.5.1;3.1.7;5.4.99,4.2.3,4.2.3
59237,4.2.3.203,4.2.3,4.2.3;3.1.7;2.5.1;2.1.1,4.2.3.43;4.2.3.191;4.2.3.146;4.2.3.158;2.5.1.89;4.2.3.159;4.2.3.195;4.2.3.17;4.2.3.180;4.2.3.8;4.2.3.149;4.2.3.176;4.2.3.145;4.2.3.167;4.2.3.178;1.3.1.83;4.2.3.87;4.2.3.67;4.2.3.179;4.2.3.24;4.2.3.62;4.2.3.165;4.2.3.-|4.2.3.129;4.2.3.142;4.2.3.65;4.2.3.123;4.2.3.161;4.2.3.37;4.2.3.139;4.2.3.72;4.2.3.101|4.2.3.102;4.2.3.7;4.2.3.-|4.2.3.162;4.2.3.96;4.2.3.55;4.2.3.-|4.2.3.128;4.2.3.76;4.2.3.182;4.2.3.163;4.2.3.56|4.2.3.58;4.2.3.74;4.2.3.-|4.2.3.125;4.2.3.133;4.2.3.-|4.2.3.127;4.2.3.22;4.2.3.164|4.2.3.ek;4.2.3.21;4.2.3.160;4.2.3.73;4.2.3.83;4.2.3.144;4.2.3.175;4.2.3.170;4.2.3.54;4.2.3.81;4.2.3.68;4.2.3.181;4.2.3.169;4.2.3.82;4.2.3.80;4.2.3.136;4.2.3.39;4.2.3.157;4.2.3.88;4.2.3.90;4.2.3.198|4.2.3.66;4.2.3.78,4.2.3,4.2.3;2.5.1;5.3.3;5.4.99;3.1.7,4.2.3,4.2.3
59241,2.1.4.3,2.3.2,2.7.8;2.8.3;2.8.2;4.5.1,5.4.3.2;5.4.3.3|5.4.3.4;4.1.1.20;3.5.1.17;5.4.99.58;5.1.1.10|5.1.1.12|5.1.1.9;5.1.1.5|5.1.1.9;1.14.13.39;2.6.1.84;2.6.1.36;2.3.2.30;2.6.1.13,,2.7.4;2.7.8;2.3.1;5.2.1;2.6.1,2.7.8|5.4.3,5.4.3
59245,3.1.1.106,3.1.1,3.1.1;3.1.3;3.1.2;3.13.1,1.13.12.17;6.3.5.11;6.3.5.9;6.3.5.10;1.1.1.34|1.1.1.88;1.3.1.101;6.3.2.14;1.2.1|1.2.1.19|1.2.1.24|1.2.1.3|1.2.1.31|1.2.1.36|1.2.1.48|1.2.1.5|1.2.1.69|1.2.1.88,,3.1.1;3.6.1;2.7.2;3.1.2;6.1.1,3.1.1,3.1.1
59249,2.8.3.17,2.8.3,2.7.8;2.3.1;2.7.7;2.4.2,2.8.3.17;6.2.1.12;2.8.3.23;1.3.1.-|2.3.1.170|2.3.1.74,4.2.1,2.8.3;2.3.1;5.3.3;2.7.4;4.2.1,2.8.3,2.8.3
59253,2.8.3.17,2.3.1,2.7.8;2.3.1;2.8.3;2.3.2,2.8.3.17;2.8.3.23;2.8.3.12;2.3.1.146;2.3.1.236;6.2.1.12;2.8.3.-|5.4.1.3;1.3.1.-|2.3.1.170|2.3.1.74,4.2.1,2.8.3;2.3.1;5.3.3;2.7.4;4.2.1,2.8.3,2.8.3
59313,1.1.3.5,1.1.3,1.1.3;1.13.99;1.2.3;1.3.3,1.1.3.4|1.1.3.5;1.1.3.10;1.1.3.9;1.1.3.18;1.1.3.15;1.1.5.9;1.1.3.20;1.1.3.7;1.1.3.13;1.3.3.6;1.7.3.1;1.4.3.2,1.1.99;1.1.3,1.1.3;1.1.99;1.4.3;1.2.3;2.3.1,1.1.3,1.1.3
59317,1.1.3.5,1.1.3,1.1.3;1.13.99;1.2.3;1.13.12,1.3.3.6;1.1.3.18;1.1.3.15;1.1.3.13;1.1.3.20;1.1.3.7;1.7.3.1;1.4.3.2,,1.1.3;1.4.3;1.2.3;2.3.1;1.11.1,1.1.3,1.1.3
59329,3.1.1.110,3.1.1,3.1.1;3.2.1;3.1.2;2.3.2,3.1.1.15;1.6.5.4;5.5.1.27;3.1.1.17;6.3.5.11;6.3.5.9;6.3.5.10;3.1.1.25;2.7.8.46;2.4.99.14;1.14.13.39;3.1.1.65;2.7.8.26,3.1.1,3.1.1;4.1.1;4.2.1;5.5.1;1.1.1,3.1.1,3.1.1
59345,1.1.3.5,1.1.3,1.1.3;1.13.99;1.2.3;1.13.12,1.3.3.6;1.1.3.18;1.1.3.15;1.1.3.13;1.1.3.20;1.1.3.7;1.7.3.1;1.4.3.2,,1.1.3;1.4.3;1.2.3;2.3.1;1.11.1,1.1.3,1.1.3
59353,1.1.3.5,1.1.3,1.1.3;1.13.99;1.2.3;1.3.3,1.3.3.6;1.1.3.18;1.1.3.15;1.1.3.13;1.1.3.20;1.1.3.7;1.7.3.1;1.4.3.2,,1.1.3;1.4.3;1.2.3;1.11.1;1.5.3,1.1.3,1.1.3
